,Player,Nation,Pos,Squad,Age,Match_Played,Minutes,Goals,Assists,Yellow_cards,Red_Cards
0,Tammy Abraham,ENG,FW,Roma,24.0,37,3084,0.5,0.12,0.26,0.0
1,Francesco Acerbi,ITA,DF,Lazio,34.0,30,2536,0.14,0.0,0.07,0.04
2,Michel Aebischer,SUI,MF,Bologna,25.0,12,443,0.0,0.0,0.2,0.0
3,Felix Afena-Gyan,GHA,FWMF,Roma,19.0,17,668,0.27,0.0,0.68,0.14
4,Kevin Agudelo,COL,MFFW,Spezia,23.0,23,1237,0.22,0.07,0.15,0.07
5,Ola Aina,NGA,DF,Torino,25.0,21,1437,0.0,0.0,0.25,0.0
6,Marley Aké,FRA,MFFW,Juventus,21.0,4,77,0.0,0.0,1.11,0.0
7,Jean-Daniel Akpa-Akpro,CIV,MF,Lazio,29.0,10,315,0.0,0.0,0.29,0.0
8,Luis Alberto,ESP,MF,Lazio,29.0,34,2353,0.19,0.34,0.19,0.0
9,Giorgio Altare,ITA,DF,Cagliari,23.0,19,1466,0.06,0.0,0.31,0.0
10,Wisdom Amey,ITA,DF,Bologna,16.0,1,71,0.0,0.0,0.0,0.0
11,Kelvin Amian,FRA,DF,Spezia,24.0,32,2646,0.03,0.03,0.31,0.07
12,Nadiem Amiri,GER,MFFW,Genoa,25.0,13,683,0.0,0.13,0.0,0.0
13,Ethan Ampadu,WAL,MFDF,Venezia,21.0,29,2282,0.0,0.12,0.51,0.08
14,Sofyan Amrabat,MAR,MF,Fiorentina,25.0,23,944,0.1,0.0,0.57,0.0
15,Felipe Anderson,BRA,FW,Lazio,29.0,38,2888,0.19,0.25,0.06,0.0
16,Ebenezer Annan,GHA,DF,Bologna,19.0,1,25,0.0,0.0,0.0,0.0
17,Cristian Ansaldi,ARG,DF,Torino,35.0,19,691,0.0,0.39,0.26,0.0
18,Janis Antiste,FRA,FW,Spezia,19.0,18,796,0.11,0.0,0.0,0.0
19,Mattia Aramu,ITA,MFFW,Venezia,27.0,32,2100,0.3,0.21,0.26,0.0
20,Marko Arnautovic,AUT,FW,Bologna,33.0,33,2694,0.47,0.03,0.2,0.0
21,Tolgay Arslan,GER,MF,Udinese,31.0,30,1658,0.05,0.0,0.49,0.0
22,Arthur,BRA,FW,Fiorentina,24.0,14,749,0.24,0.24,0.12,0.0
23,Kristoffer Askildsen,NOR,MF,Sampdoria,21.0,19,754,0.0,0.0,0.6,0.0
24,Kristjan Asllani,ALB,MF,Empoli,20.0,23,1353,0.07,0.07,0.13,0.0
25,Emil Audero,ITA,GK,Sampdoria,25.0,29,2560,0.0,0.0,0.07,0.0
26,Tommaso Augello,ITA,DF,Sampdoria,27.0,36,2395,0.04,0.04,0.0,0.0
27,Ramzi Aya,ITA,DF,Salernitana,31.0,2,135,0.0,0.0,0.67,0.0
28,Kaan Ayhan,TUR,DF,Sassuolo,27.0,23,1354,0.07,0.0,0.13,0.07
29,Milan Badelj,CRO,MF,Genoa,33.0,34,2844,0.03,0.0,0.13,0.0
30,Nicola Bagnolini,ITA,GK,Bologna,18.0,1,3,0.0,0.0,0.0,0.0
31,Issa Bah,LUX,FW,Venezia,19.0,1,9,0.0,0.0,0.0,0.0
32,Nedim Bajrami,ALB,MFFW,Empoli,23.0,35,2054,0.26,0.22,0.13,0.0
33,Tiemoué Bakayoko,FRA,MF,Milan,27.0,14,501,0.0,0.0,0.54,0.0
34,Tommaso Baldanzi,ITA,FW,Empoli,19.0,1,18,0.0,0.0,0.0,0.0
35,Keita Baldé,SEN,FWMF,Cagliari,27.0,26,1229,0.22,0.07,0.15,0.0
36,Fodé Ballo-Touré,SEN,DF,Milan,25.0,10,446,0.0,0.0,0.4,0.0
37,Filippo Bandinelli,ITA,MF,Empoli,27.0,35,1955,0.09,0.14,0.46,0.0
38,Mattia Bani,ITA,DF,Genoa,28.0,17,1211,0.0,0.0,0.07,0.0
39,Antonín Barák,CZE,FWMF,Hellas Verona,27.0,29,2340,0.42,0.15,0.15,0.0
40,Francesco Bardi,ITA,GK,Bologna,30.0,2,177,0.0,0.0,0.0,0.0
41,Nicolò Barella,ITA,MF,Inter,25.0,36,2913,0.09,0.34,0.28,0.0
42,Musa Barrow,GAM,FWMF,Bologna,23.0,34,2134,0.25,0.25,0.0,0.0
43,Daniele Baselli,ITA,MFFW,Torino,30.0,6,150,0.0,0.0,0.0,0.0
44,Daniele Baselli,ITA,MF,Cagliari,30.0,9,290,0.0,0.31,0.31,0.0
45,Toma Basic,CRO,MF,Lazio,25.0,29,982,0.0,0.18,0.28,0.0
