,Squad,Age,Yellow_Card,Red_Card,Total_Shoot,Shoot_Target,Shoot_90min,Shoot_Target_90min,Goal_Shot,Goal_Shot_Target,Possession,Total_Touches,Dribbling_Successful,Total_Distance,Lose_Ball,Successful_Pass,Pass_Completed,Total_Assist,Key_Passes,Crosses,Win,Draw,Goal_Done,Goal_Taken,Total_Tackles,Tackles_Won,Total_Pressing,Pressing_Successful,Interception,Clear,Err
0,Atalanta,27.5,87,2,597,168,15.71,4.42,0.1,0.34,55.1,25821,354,88000,492,17273,17273,48,465,87,16,11,65,48,695,426,5606,1812,557,579,3
1,Bologna,26.6,92,7,442,142,11.63,3.74,0.09,0.27,50.7,22401,315,71591,349,14594,14594,34,341,100,12,10,44,55,592,346,5408,1566,527,697,7
2,Cagliari,26.5,96,5,419,112,11.03,2.95,0.07,0.28,44.4,19939,227,59882,361,11661,11661,26,304,85,6,12,34,68,602,365,5374,1528,620,717,3
3,Empoli,24.5,87,5,495,153,13.03,4.03,0.08,0.26,47.1,21081,236,74232,456,12942,12942,27,342,80,10,11,50,70,675,425,5870,1635,544,769,4
4,Fiorentina,26.4,89,8,502,175,13.21,4.61,0.1,0.29,58.2,24774,284,88693,396,17554,17554,33,378,105,19,5,59,51,554,334,5044,1558,480,385,13
5,Genoa,27.0,92,3,402,107,10.58,2.82,0.05,0.19,43.9,20485,285,56430,457,11422,11422,19,276,65,4,16,27,60,806,489,6405,1981,657,732,8
6,Hellas Verona,26.8,100,7,456,153,12.0,4.03,0.12,0.37,50.6,22022,291,70181,480,13280,13280,44,333,78,14,11,65,59,614,385,5383,1699,560,897,6
7,Inter,28.9,71,0,670,238,17.63,6.26,0.11,0.32,56.6,25816,239,91900,347,18505,18505,57,502,131,25,9,84,32,621,402,4883,1534,462,520,7
8,Juventus,27.4,77,2,522,168,13.74,4.42,0.1,0.3,51.7,24111,290,78098,426,16521,16521,37,381,93,20,10,57,37,597,380,5263,1643,508,690,7
9,Lazio,29.0,88,5,448,185,11.79,4.87,0.15,0.36,55.6,26981,322,89501,359,19694,19694,48,343,60,18,10,77,58,601,348,5150,1394,495,598,3
10,Milan,25.6,76,3,593,186,15.61,4.89,0.1,0.33,54.2,23604,441,86577,397,15788,15788,39,423,106,26,8,69,31,756,489,6144,1914,606,501,8
11,Napoli,27.9,63,2,567,187,14.92,4.92,0.11,0.34,58.5,26775,319,92214,400,19698,19698,46,447,78,24,7,74,31,617,403,5417,1728,465,457,2
12,Roma,26.4,111,8,596,179,15.68,4.71,0.09,0.28,51.4,23026,297,78241,374,15337,15337,31,411,74,18,9,59,43,686,431,6004,1795,567,586,4
13,Salernitana,27.7,94,5,431,134,11.34,3.53,0.06,0.21,41.0,18914,310,57759,393,10842,10842,19,305,87,7,10,33,78,598,367,5403,1444,593,803,3
14,Sampdoria,29.0,94,4,388,121,10.21,3.18,0.1,0.33,45.9,21125,228,62345,347,12996,12996,29,289,77,10,6,46,63,624,372,5365,1583,617,722,11
15,Sassuolo,26.1,92,4,568,203,14.95,5.34,0.09,0.26,55.2,24649,337,90318,434,17195,17195,39,418,62,13,11,64,66,527,321,5150,1470,520,635,20
16,Spezia,24.4,88,4,388,131,10.21,3.45,0.09,0.27,42.7,19840,265,61237,459,11759,11759,25,277,67,10,6,41,71,649,385,6001,1706,584,744,8
17,Torino,25.2,89,3,473,139,12.45,3.66,0.08,0.27,53.6,22422,259,73780,353,14152,14152,27,352,85,13,11,46,41,585,306,5314,1648,587,777,9
18,Udinese,26.3,95,6,507,184,13.34,4.84,0.11,0.3,42.3,19772,352,65532,448,11792,11792,36,362,53,11,14,61,58,689,455,5647,1746,570,657,11
19,Venezia,26.1,110,9,354,112,9.32,2.95,0.09,0.28,42.1,19876,295,62628,447,11662,11667,23,253,71,6,9,34,69,646,385,5974,1597,617,882,10
